chunk_id,document,section,text,topic
Delegation_of_Financial_Powers_Rules_2024_Booklet_p0003,Delegation_of_Financial_Powers_Rules_2024_Booklet.pdf,GOVERNMENT OF INDIA MINISTRY OF FINANCE DEPARTMENT OF EXPENDITURE,"GOVERNMENT OF INDIA
MINISTRY OF FINANCE
DEPARTMENT OF EXPENDITURE
DELEGATION OF FINANCIAL
POWERS RULES, 2024",financial powers
Delegation_of_Financial_Powers_Rules_2024_Booklet_p0005,Delegation_of_Financial_Powers_Rules_2024_Booklet.pdf,Preface,"DELEGATION OF FINANCIAL POWERS RULES, 2024
MINISTRY OF FINANCE
DEPARTMENT OF EXPENDITURE
iii
PREFACE
D
elegation in general, and delegation of financial powers in particular, is an
important determinant of efficiency in large organisations. Recognizing
the need for a contemporary framework that fosters quicker and more efficient
decision-making without loss of control, the Delegation of Financial Powers Rules
2024 has been formulated as a replacement for its predecessor, the Delegation of
Financial Powers Rules 1978.
The exercise of revising the Delegation of Financial Powers Rules began with
a critical examination of the 1978 Rules. Some of the provisions were perceived as
complex and occasionally ambiguous. A comprehensive revision, therefore, became
imperative.
A key objective of the Delegation of Financial Powers Rules 2024 is simplicity
and ease of understanding. The aim is to empower users with a framework of rules
that is not only comprehensive but also easily navigable, so that financial decision-
makers at all levels can comprehend and execute their responsibilities with clarity.
The rules have also been designed to accommodate updates and modifications in a
timely manner, making them adaptive and responsive to future needs.
To facilitate agile financial decision-making, the Delegation of Financial
Powers Rules 2024 allow greater autonomy to various levels of authority, and
reduce bottlenecks. They aim to empower departments and individuals, fostering a
sense of ownership and responsibility for financial decisions.
(Dr. T . V . Somanathan)
Finance Secretary & Secretary (Expenditure)
Government of India",financial powers
Delegation_of_Financial_Powers_Rules_2024_Booklet_p0007,Delegation_of_Financial_Powers_Rules_2024_Booklet.pdf,Index,"DELEGATION OF FINANCIAL POWERS RULES, 2024
MINISTRY OF FINANCE
DEPARTMENT OF EXPENDITURE
v
INDEX
Sr. No. PAGE
RULES
1. Short title and commencement 1
2. Power to relax 1
3. Definitions 1
4. Provision of funds by Parliament 3
5. General conditions on powers to sanction
expenditure
3
6. Residuary financial powers 3
7. Sanction of expenditure 3
8. Primary unit of appropriation 3
9. Allotment of Funds 4
10. Appropriation and Re-Appropriation 5
11. Indents, contracts and purchases 10
12. Powers of Subordinate Authorities 11
13. Powers of Subordinate Authorities to write off loss 12
14. Insurance of Government property 15
15. Waiver of recovery of overpayment made to
Government servants
15
16. Expenditure on Schemes or Projects 18
17. Grant-in-aid, loans, etc 19",financial powers
Delegation_of_Financial_Powers_Rules_2024_Booklet_p0008,Delegation_of_Financial_Powers_Rules_2024_Booklet.pdf,Item 18 Trading operations 19,"Sr. No. PAGE
18. Trading operations 19
19. Dismantlement of public buildings 20
20. Communication of sanctions to audit 20
21. Repeal and savings 21
ANNEXURES
I. List of Object Heads 24
II. General conditions for incurring Expenditure 36
APPENDICES
OTHER RELATED ORDERS",financial powers
Delegation_of_Financial_Powers_Rules_2024_Booklet_p0009,Delegation_of_Financial_Powers_Rules_2024_Booklet.pdf,Rule 1 Short title and commencement-,"DELEGATION OF FINANCIAL POWERS RULES, 2024
MINISTRY OF FINANCE
DEPARTMENT OF EXPENDITURE
1
Rule 1: Short title and commencement-
(1) These rules may be called the Delegation of Financial Powers Rules, 2024.
(2) They shall come into force with effect from the 1st day of April, 2024.
Rule 2: Power to Relax- The President being satisfied that it is necessary or expe-
dient so to do may, by general or special order, -
(a) relax all or any provisions of these rules in relation to any authority;
(b) delegate to any authority powers in addition to the powers delegated under
these rules;
(c) reduce the powers delegated to any authority to such extent as may be spec-
ified in the order;
(d) impose conditions in addition to those specified by these rules; and
(e) withdraw from any authority all or any of the powers delegated under these
rules.
Rule 3: Definitions-
(1) In these rules, unless the context otherwise requires –
(a) “Administrator” means an Administrator of a Union territory, by
whatever name designated, appointed under Article 239 of the Con -
stitution;
(b) “ Annexure” means the Annexure appended to these rules;
(c) “ Appropriation” means the assignments of funds to defray charges in
respect of services indicated voted or charged section;
(d) “Competent Authority” means, in respect of the power to be exer -
cised under any of these rules, the President or such other authority
to which the power is delegated by or under these rules, or any other
general or special rules or orders issued by the Government of India;
(e) “Department of the Government of India” means any of the Minis-
tries, Departments, Secretariats and Offices as notified from time to
time and listed in the First Schedule to the Government of India (Al-
location of Business Rules) and the Vice-President’s Secretariat;",financial powers
Delegation_of_Financial_Powers_Rules_2024_Booklet_p0010,Delegation_of_Financial_Powers_Rules_2024_Booklet.pdf,"DELEGATION OF FINANCIAL POWERS RULES, 2024 MINISTRY OF FINANCE DEPARTMENT OF EXPENDITURE","DELEGATION OF FINANCIAL POWERS RULES, 2024
MINISTRY OF FINANCE
DEPARTMENT OF EXPENDITURE
2
(f) “Finance Ministry” means the Department of Expenditure, Ministry
of Finance of the Government of India:
Provided that in any Department of the Government of India where
the Scheme of Integrated Financial Adviser is in force, the Integrated
Financial Adviser of that Department, will, subject to supervision by
Finance Ministry, exercise all or any of the powers delegated by Fi -
nance Ministry.
(g) “Head of the Department” means an authority or person (not below
the rank of Deputy Secretary to the Government of India and equiva-
lent), declared by the Department concerned, in the Government of
India, as a Head of the Department (HoD) in relation to an identifiable
establishment or establishments to exercise the financial powers del-
egated to him under these rules;
(h) “Head of Office” means a Gazetted Officer designated as such, subor-
dinate to Administrators and Heads of Departments;
(i) “Ministry of Finance” means the Departments concerned with the
subject matter in the Ministry of Finance;
(j) “Projects” means one-time expenditure resulting in creation of capi-
tal assets or otherwise, which could yield financial or economic re-
turns or both and such projects may either be separate or part of an
approved Scheme;
(k) “Re-appropriation” means transfer, by a Competent Authority, of
funds from one primary unit of appropriation to another to meet ad-
ditional expenditure within the same Section (Revenue Section and
Capital Section) of the grant or Appropriation;
(l) “Recurring expenditure” means expenditure which is incurred at
periodical intervals for the same purpose and the expenditure other
than recurring expenditure is non-recurring expenditure;
(m) “Schemes” means programmes through which Departments of the
Government of India spend resources for delivering goods or, services
or both.
(2) The terms and expressions used in these rules and not defined here but de-
fined in the General Financial Rules shall have the meanings respectively
assigned to them in the said General Financial Rules.",financial powers
Delegation_of_Financial_Powers_Rules_2024_Booklet_p0011,Delegation_of_Financial_Powers_Rules_2024_Booklet.pdf,Rule 4 Provision of funds by Parliament- After the Appropriation Bill is passed,"DELEGATION OF FINANCIAL POWERS RULES, 2024
MINISTRY OF FINANCE
DEPARTMENT OF EXPENDITURE
3
Rule 4: Provision of funds by Parliament- After the Appropriation Bill is passed
by Parliament and assented to by the President, the amounts so authorised become
available to the concerned Departments of the Government of India to meet sanc-
tioned expenditure.
Rule 5: General conditions on powers to sanction expenditure-
(1) No Authority shall sanction expenditure or advances without the previous
consent of the Finance Ministry if it involves the introduction of a new prin-
ciple or practice likely to lead to increased expenditure in future.
(2) A Subordinate Authority shall exercise the power to sanction expenditure
subject to any general or special order or direction which the authority del-
egating or re-delegating such power may issue or prescribe from time to
time.
Rule 6: Residuary financial powers- All financial powers, not specifically dele-
gated to any authority by these rules including creation and abolition of posts, shall
vest in the Finance Ministry.
Rule 7: Sanction of expenditure-
(1) All expenditure shall require both, sanction and Appropriation. Expenditure
can be incurred against a sanction only when funds are made available to
meet the expenditure or liability by valid appropriation or Re-appropria-
tion.
(2) A sanction to recurring expenditure or liability becomes operative when
funds to meet the expenditure or liability of the first year are made avail -
able by valid Appropriation or Re-appropriation or by an advance from the
Contingency Fund, as the case may be, and remains effective for each sub-
sequent year subject to appropriation in such years and also subject to the
terms of the sanction.
Rule 8: Primary unit of appropriation–
(1) A grant or Appropriation for charged expenditure is distributed by
standard Object Heads under which it shall be accounted for and each
such standard Object Head, against which the provision for expenditure
appears, constitutes a primary unit of appropriation. The primary unit of
appropriation is the lowest unit of accounting classification denoting the
objects of expenditure.",financial powers
Delegation_of_Financial_Powers_Rules_2024_Booklet_p0012,Delegation_of_Financial_Powers_Rules_2024_Booklet.pdf,"DELEGATION OF FINANCIAL POWERS RULES, 2024 MINISTRY OF FINANCE DEPARTMENT OF EXPENDITURE","DELEGATION OF FINANCIAL POWERS RULES, 2024
MINISTRY OF FINANCE
DEPARTMENT OF EXPENDITURE
4
(2) The primary unit may include provision for both voted and charged expen-
diture and in that case the amount of each is shown separately.
(3) The primary units of appropriation or standard Object Heads shall be as
specified by Finance Ministry from time to time. A list of standard Object
Head is at Annexure-I.
(4) The Finance Ministry may add, delete or amend the primary units of appro-
priation orprescribe an entirely different set of such units.
(5) The departments of the Government of India shall keep in view the follow -
ing with regard to the numeric codification for preparation of the Detailed
Demands for Grants, namely:-
(i) the number of tiers of classification in the Detailed Demands for
Grants shall be the standard six tiers indicated in the table below:
S. N. Type of Head Codification
(1) (2) (3)
1. Major Head -4 digits(Function)
2. Sub-major Head -2 digits(Sub-function)
3. Minor Head -3 digits(Programme)
4. Sub-head -2 digits(Scheme)
5. Detailed Head -2 digits(Sub-scheme)
6. Object Head -2 digits (Primary unit of Appropria-
tion or Object Head)
(ii) the numeric code numbers assigned by the Controller General of Ac-
counts for Major, Sub-major, Minor Heads, Sub-heads and Detailed
Heads for the Union and States shall be followed in the Detailed De -
mands for Grants;
(iii) the distinction between Revenue and Capital Expenditure shall be as
defined in the Government Accounting Rules and the General Finan-
cial Rules.
Rule 9: Allotment of Funds- The Departments of Government of India or author-
ity on whose behalf a grant, or Appropriation for charged expenditure is authorised
by Parliament shall distribute the sanctioned funds, where necessary, among the
controlling and disbursing officers subordinate to it.",financial powers
Delegation_of_Financial_Powers_Rules_2024_Booklet_p0013,Delegation_of_Financial_Powers_Rules_2024_Booklet.pdf,Rule 10 Appropriation and Re-Appropriation –,"DELEGATION OF FINANCIAL POWERS RULES, 2024
MINISTRY OF FINANCE
DEPARTMENT OF EXPENDITURE
5
Rule 10- Appropriation and Re-Appropriation –
General Restrictions–
(1) Save with prior approval of the Parliament, funds shall not be appropriated
or re-appropriated to meet expenditure on a New Service or New Instru-
ment of Service (NS or NIS) not contemplated in the budget as approved by
Parliament. For deciding whether a case relates to a New Service or New
Instrument of Service and for determining whether prior approval of Parlia-
ment is required or it is to be reported to Parliament along with the next
batch of supplementary demands, the financial limits prescribed by the
Budget Division, Department of Economic Affairs, from time to time shall be
referred to.
(2) Funds shall not be appropriated or re-appropriated to meet expenditure
which has not been sanctioned by an authority competent to sanction it.
(3) Funds shall not be appropriated or re-appropriated to any work which has
not received administrative approval and technical sanction as prescribed
by Government of India from time to time.
(4) Funds provided for charged expenditure shall not be appropriated or re-
appropriated to meet voted expenditure and funds provided for voted ex -
penditure shall not be appropriated or re-appropriated to meet charged
expenditure.
(5) No Re-appropriation shall be made from one grant or Appropriation for
charged expenditure to another Grant or Appropriation for charged expen-
diture.
(6) No Re-appropriation can be made from Capital to Revenue Section of the
Grant or vice versa.
(7) No Re-appropriation can be made from an appropriation already augment-
ed through a Supplementary Demand for Grant passed by the Parliament or
under the provisions of this rule.
(8) No Re-appropriation can be made from savings under an activity for which a
Contingency Fund Advance has already been obtained during the course of
the financial year.
Powers of Administrative Ministries or Departments-
(9) Subject to the provisions above, Chief Accounting Authorities of Administra-
tive Ministries or Departments shall have the following powers, namely:-",financial powers
Delegation_of_Financial_Powers_Rules_2024_Booklet_p0014,Delegation_of_Financial_Powers_Rules_2024_Booklet.pdf,"DELEGATION OF FINANCIAL POWERS RULES, 2024 MINISTRY OF FINANCE DEPARTMENT OF EXPENDITURE","DELEGATION OF FINANCIAL POWERS RULES, 2024
MINISTRY OF FINANCE
DEPARTMENT OF EXPENDITURE
6
(i) To augment the provisions of the heads ‘Salaries’ , ‘ Allowances’ , ‘Wages’ ,
‘Pensionary Charges’ , ‘Medical Expenses’ and ‘Rent, Rates and Taxes
for Land and Buildings’ through Re-appropriation.
(ii) To re-appropriate funds from the Object head ‘Salaries’ to the Object
head ‘Salaries’ across the schemes.
(iii) To augment provisions already approved by Parliament through the
Supplementary Demands for Grants.
(iv) To re-appropriate funds from lump-sum provision for northeast areas
to concerned schemes. However, this delegation of powers is limited
to re-appropriation of funds from lump-sum provision to the scheme
for the benefit of Scheme or programs in the northeast areas alone.
(v) To appropriate or re-appropriate to any work, to cover excess of ex -
penditure over authorised sanctioned financial limits up to 20 %,
subject to such excess expenditure being approved by the Competent
Authority.
(vi) To augment a budget provision, under any line item ending at an ob-
ject head, to such limits permitted by Ministry of Finance through its
various specific or general orders issued from time to time.
(vii) Ministries or Departments are required to exercise the powers del-
egated under these rules for re-appropriation of funds in consultation
with the respective Financial Advisors, who shall ensure that the pro-
visions of these rules are strictly adhered to.
Cases requiring prior approval of Ministry of Finance-
(10) Notwithstanding anything contained in this rule, except with the previous
consent of the Budget Division with concurrence of Secretary (Expendi-
ture):-
(i) No Re-appropriation of funds shall be carried out to meet expenditure
in the Revenue Section from savings under grants-in-aid to States or
Union territories.
(ii) No Re-appropriation of funds shall be made between Capital Outlay
and loans or vice-versa, in Capital Section;
(iii) No Re-appropriation of funds shall be made from ‘Salaries’ or ‘ Allow-
ances’ head to any other “primary unit of appropriation” .",financial powers
